assembly_accession	access_url
GCA_907164525.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Lophiomys_imhausi/GCA_907164525.1/ensembl/geneset/2024_05/genes.gff3.gz
GCA_002215775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/775/GCA_002215775.1_Cryp_neof_AD2_60a_V1/GCA_002215775.1_Cryp_neof_AD2_60a_V1_genomic.gff.gz
GCA_008275145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/275/145/GCA_008275145.1_ASM827514v1/GCA_008275145.1_ASM827514v1_genomic.gff.gz
GCA_003691605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/691/605/GCA_003691605.1_ASM369160v1/GCA_003691605.1_ASM369160v1_genomic.gff.gz
GCA_001515605.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Sinocyclocheilus_anshuiensis/GCA_001515605.1/ensembl/geneset/2020_03/genes.gff3.gz
GCF_903798145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/798/145/GCF_903798145.1_fDanAes4.1/GCF_903798145.1_fDanAes4.1_genomic.gff.gz
GCA_056579005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/056/579/005/GCA_056579005.1_ASM5657900v1/GCA_056579005.1_ASM5657900v1_genomic.gff.gz
GCA_963681225.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/681/225/GCA_963681225.1_ApahanomycesEuteiches_IsolateUC-2905-Ae14/GCA_963681225.1_ApahanomycesEuteiches_IsolateUC-2905-Ae14_genomic.gff.gz
GCA_003182015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/182/015/GCA_003182015.1_ASM318201v1/GCA_003182015.1_ASM318201v1_genomic.gff.gz
GCF_002571385.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/571/385/GCF_002571385.2_Stylophora_pistillata_v1.1/GCF_002571385.2_Stylophora_pistillata_v1.1_genomic.gff.gz
GCA_004027145.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Daubentonia_madagascariensis/GCA_004027145.1/ensembl/geneset/2020_09/genes.gff3.gz
GCA_004917825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/917/825/GCA_004917825.1_ASM491782v1/GCA_004917825.1_ASM491782v1_genomic.gff.gz
GCF_029677425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/677/425/GCF_029677425.1_ASM2967742v1/GCF_029677425.1_ASM2967742v1_genomic.gff.gz
GCA_002893035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/893/035/GCA_002893035.1_ASM289303v1/GCA_002893035.1_ASM289303v1_genomic.gff.gz
GCA_004917725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/917/725/GCA_004917725.1_ASM491772v1/GCA_004917725.1_ASM491772v1_genomic.gff.gz
GCA_020500965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/500/965/GCA_020500965.1_ASM2050096v1/GCA_020500965.1_ASM2050096v1_genomic.gff.gz
GCF_023634085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/634/085/GCF_023634085.1_bFalChe1.pri/GCF_023634085.1_bFalChe1.pri_genomic.gff.gz
